cell,tsne_x,tsne_y,cluster
"Co_P1_Ep_GFP_6",-1.65830358310068,-8.21477438393653,4
"Co_P1_Ep_GFP_14",0.400162268087932,-1.72559576357447,3
"Co_P1_Ep_GFP_0",-1.81899583326658,-8.76528262752653,4
"Co_P1_Ep_tdTom_1",-2.14544470767754,-0.495661525452318,4
"Co_P1_Ep_Neg_0",-1.22325736696006,-2.66531890034924,4
"Co_P1_Ep_GFP_3",-0.835197330655726,-2.82589164324523,3
"Co_P1_Ep_GFP_13",-3.39014367395361,-7.28359090494679,4
"Co_P1_Ep_GFP_15",-3.62530407068687,-8.99894282649158,4
"Co_P1_Ep_tdTom_0",-1.28661992406576,0.0618824753589849,1
"Co_P1_Ep_Neg_4",-3.38894125982651,-7.42573097017334,4
"Co_P1_Ep_GFP_7",-2.61091815997034,-7.33853774071675,4
"Co_P1_Ep_GFP_1",-0.78572428135473,-0.5401553288508,4
"Co_P1_Ep_Neg_5",-1.73167214677736,-2.14350603868027,4
"Co_P1_Ep_GFP_11",-3.84333198105197,-6.47116563622035,4
"Co_P1_Ep_GFP_16",-0.354231519813288,-0.710629490757619,1
"Co_P1_Ep_Neg_1",-4.3307779001045,-8.84234771194802,4
"Co_P1_Ep_Neg_8",-2.25116458764265,-7.05797573021852,4
"Co_P1_Ep_Neg_15",0.609971826570268,0.0730211726707633,3
"Co_P1_Ep_Neg_18",-3.86766848426414,-7.15816999347326,4
"Co_P1_Ep_GFP_2",-2.43852337075688,-6.86957728079374,4
"Co_P1_Ep_Neg_6",-1.53385200401398,-6.83470704340154,4
"Co_P1_Ep_GFP_9",2.25514909033828,-1.79321146877381,3
"Co_P1_Ep_Neg_16",-0.0744354649486942,-1.75648859574259,3
"Co_P1_Ep_Neg_19",-3.6697545902244,-8.13083972441832,4
