"","V1","V2","V3","V4","V5","V6","V7","V8"
"RPL7A",9735,3363,2154,1061,1379,791,274,0
"RPL7L1",19883,6709,3437,1646,2487,961,426,0
"RPL8",6423,2112,1452,557,837,404,139,0
"RPL9",4903,2014,994,451,766,212,166,0
"RPLP0",4371,1453,846,502,620,543,111,0
"RPLP1",2850,901,566,267,358,219,73,0
"RPLP2",2689,878,561,260,339,96,65,0
"RPLP2L",15853,5165,3001,1468,2062,689,453,0
"RPN1",7581,2841,1581,607,1186,879,140,0
"RPN2",18,4,1,0,0,5,0,0
"RPP14",921,498,244,73,89,90,27,0
"RPP21",4371,1802,830,306,545,512,57,0
"RPP25L",1561,694,331,141,147,204,23,0
"RPP30",416,117,76,34,75,26,6,0
"RPP38",3012,1288,528,261,436,335,51,0
"RPP40",67,19,14,6,2,3,0,0
"RPPH1",785,343,119,81,132,275,6,0
"RPRD1B",1016,384,145,115,166,248,21,0
"RPRD2A",2810,930,514,212,312,256,45,0
"RPRMA",22,1,1,0,1,0,0,0
"RPRMB",4,0,0,0,0,0,0,0
"RPRML",6,0,0,0,0,0,0,0
"RPS10",2079,695,417,226,252,219,63,0
"RPS11",30174,9522,5746,2634,3916,1522,770,0
"RPS12",45480,14386,8827,3868,6154,3587,1392,0
"RPS13",30648,9272,6023,2703,4026,1610,857,0
"RPS14",4289,1583,685,431,594,373,164,0
"RPS15",14580,4359,2714,1140,1783,931,444,0
"RPS15A",3337,1059,603,320,497,235,114,0
"RPS16",6818,1995,1104,594,829,289,220,0
"RPS17",12501,4335,2729,1281,1873,970,317,0
"RPS18",5744,2024,1215,677,761,426,133,0
"RPS19",27891,9101,5381,2663,3758,1236,712,0
"RPS2",23234,7068,4715,1624,2931,857,731,0
"RPS20",70626,22074,13000,5838,9657,6532,1797,0
"RPS21",16386,5206,3401,1055,2195,1056,441,0
"RPS23",5372,1674,1107,403,760,471,173,0
"RPS24",15177,4847,2800,1166,2044,861,415,0
"RPS25",1597,414,322,242,147,273,32,0
"RPS26",14435,4531,2732,1237,1866,812,363,0
"RPS26L",1198,349,163,104,141,89,37,0
"RPS27.1",13293,4192,2730,1167,1849,1224,293,0
"RPS27.2",5237,1784,1202,605,778,485,127,0
"RPS27A",20543,6579,3813,1841,3001,1214,433,0
"RPS28",28616,9154,5492,2781,3624,3811,548,0
